"N0","Nend","Ndead","T","P"
268306.479446527,241196.497711251,27109.9817352764,240,0
148786.730143636,155448.66055499,-6661.93041135382,240,0
139495.005768104,150168.521931999,-10673.5161638951,240,0
87514.5062977341,85148.9573313986,2365.54896633547,240,0
84172.0939907571,84172.0939907571,0,240,0
55081.6437829884,49584.1083917773,5497.53539121104,240,0
53139.0672440883,47203.1287726138,5935.93847147452,240,0
35644.5156054844,30550.6854162574,5093.83018922701,240,0
34604.4643676228,31430.6277739334,3173.83659368934,240,0
392105.762120903,287835.33837711,104270.423743793,239,200
426435.598323573,336027.975111165,90407.6232124088,239,200
422585.126368085,312440.79436039,110144.332007695,239,200
399942.416981905,302015.953517488,97926.4634644169,239,200
423066.236601017,311974.618523893,111091.618077124,239,200
426724.529903086,301551.420692233,125173.109210853,239,200
208669.872345159,75515.1009922244,133154.771352934,239,200
198681.248368677,85230.4154156936,113450.832952984,239,200
210548.360300955,81735.1103916999,128813.249909255,239,200
208938.120513443,82221.9102088662,126716.210304577,239,200
246921.815727086,136240.728956213,110681.086770872,239,200
207597.238520536,80438.4542455374,127158.784274999,239,200
170873.926100759,107418.644596188,63455.2815045717,239,200
168248.885288845,103337.9850138,64910.9002750452,239,200
196103.293187264,145251.996490722,50851.2966965415,239,200
198058.663107852,135129.266957935,62929.3961499163,239,200
170436.126270688,107502.09354118,62934.0327295081,239,200
192198.644698593,134274.942109191,57923.7025894016,239,200
929243.617697168,823069.59954101,106174.018156157,241,200
735304.016675152,536421.170660508,198882.846014644,241,200
850340.185823778,669474.906601761,180865.279222018,241,200
829568.938570006,694553.963819943,135014.974750063,241,200
872927.963769867,756841.583850793,116086.379919074,241,200
537506.240664523,432700.320890666,104805.919773857,241,200
455815.620687667,267480.61245174,188335.008235927,241,200
501919.399192681,308620.29542886,193299.103763821,241,200
558660.668596347,412591.021122911,146069.647473436,241,200
603314.345993272,462317.849521691,140996.49647158,241,200
670989.048879187,567086.47362757,103902.575251617,241,200
361681.612019097,257773.855431006,103907.756588092,241,200
328145.816973826,150600.603687028,177545.213286798,241,200
312627.284951862,161617.931910129,151009.353041733,241,200
315612.70384635,162401.723553637,153210.980292713,241,200
331146.248518395,180798.86803613,150347.380482265,241,200
420565.08580066,310017.471777651,110547.614023009,241,200
200728.311589434,111012.981004943,89715.3305844909,241,200
141726.184433909,80438.4542455374,61287.7301883716,241,200
134360.349225925,88331.766023425,46028.5832025005,241,200
168598.646232411,97372.3432369817,71226.3029954289,241,200
189098.545352228,100930.728438268,88167.8169139606,241,200
230601.367039386,123305.835324198,107295.531715188,241,200
89067.9727700864,49738.1352369685,39329.8375331179,241,200
96464.2069773657,37958.6473747555,58505.5596026102,241,200
78013.0938625247,49661.1156056962,28351.9782568286,241,200
93745.1531880093,64977.2456661034,28767.9075219059,241,200
90542.2818634982,60401.0695261003,30141.2123373978,241,200
151378.675548513,67675.6559984208,83703.0195500925,241,200
59380.2089049702,29235.717602973,30144.4913019973,241,200
53216.6304696114,27347.1869801092,25869.4434895022,241,200
45749.9286295036,31945.1175455288,13804.8110839748,241,200
49969.268482779,30257.9522304266,19711.3162523524,241,200
57031.3707875304,30111.6958070138,26919.6749805166,241,200
61817.5306790914,39083.7345506345,22733.7961284569,241,200
